date,tournament,round,surface,winner,loser,wrank,lrank,odds_winner,odds_loser,pin_winner,pin_loser,max_winner,max_loser
2022-03-12,BNP Paribas Open,2nd Round,Hard,Shapovalov D.,Davidovich Fokina A.,13,45.0,1.4,3.0,1.45,2.97,1.45,3.05
2022-03-12,BNP Paribas Open,2nd Round,Hard,Monfils G.,Krajinovic F.,28,40.0,1.44,2.75,1.55,2.65,1.64,2.79
2022-03-12,BNP Paribas Open,2nd Round,Hard,Ruud C.,Eubanks C.,8,157.0,1.2,4.5,1.17,5.94,1.22,5.94
2022-03-12,BNP Paribas Open,2nd Round,Hard,Norrie C.,Martinez P.,12,49.0,1.2,4.5,1.2,5.23,1.24,5.23
2022-03-12,BNP Paribas Open,2nd Round,Hard,Opelka R.,Musetti L.,17,56.0,1.44,2.75,1.45,2.99,1.47,3.0
2022-03-12,BNP Paribas Open,2nd Round,Hard,Nadal R.,Korda S.,4,38.0,1.12,6.0,1.13,7.05,1.17,7.05
2022-03-12,BNP Paribas Open,2nd Round,Hard,Evans D.,Coria F.,29,65.0,1.14,5.5,1.18,5.65,1.18,6.1
2022-03-12,BNP Paribas Open,2nd Round,Hard,Medvedev D.,Machac T.,1,158.0,1.05,11.0,1.06,11.77,1.06,13.0
2022-03-12,BNP Paribas Open,2nd Round,Hard,Bautista Agut R.,Wolf J.J.,15,209.0,1.22,4.33,1.24,4.55,1.25,4.65
2022-03-12,BNP Paribas Open,1st Round,Hard,Nakashima B.,Mannarino A.,80,66.0,1.57,2.37,1.63,2.44,1.75,2.45
2022-03-12,BNP Paribas Open,1st Round,Hard,Querrey S.,Griekspoor T.,114,54.0,4.33,1.22,4.51,1.25,4.6,1.26
2022-03-12,BNP Paribas Open,1st Round,Hard,Van De Zandschulp B.,Sandgren T.,47,153.0,1.33,3.4,1.42,3.14,1.42,3.4
2022-03-12,BNP Paribas Open,1st Round,Hard,Majchrzak K.,Bedene A.,75,133.0,1.22,4.33,1.25,4.42,1.25,4.55
2022-03-12,BNP Paribas Open,1st Round,Hard,Johnson S.,Altmaier D.,115,79.0,1.9,1.9,1.9,2.0,2.0,2.1
